"Date","Pension_Contributions"
2022-01-01,1347194329.49
2022-02-01,1385093742.6
2022-03-01,1435140023.58
2022-04-01,1290182105.28
2022-05-01,1549295063.78
2022-06-01,1626313119.49
2022-07-01,1303951040.53
2022-08-01,1369029559.51
2022-09-01,1352613636.67
2022-10-01,1448548478.52
2022-11-01,1468511219.23
2022-12-01,1321102949.22
2023-01-01,16896975267.9
2023-02-01,1320140263.14
2023-03-01,1548921118.65
2023-04-01,3549933822.97
2023-05-01,3437070813.81
2023-06-01,3845351417.91
2023-07-01,3949061157.79
2023-08-01,3568191929.77
2023-09-01,3934962715.12
2023-10-01,4683728746.4
2023-11-01,4388984368.56
2023-12-01,4713952103
2024-01-01,4471805454.35
2024-02-01,43412103911.47
2024-03-01,1580034322.92513
2024-04-01,1640527655.80934
2024-05-01,712108239.037145
2024-06-01,1924077015.35908
2024-07-01,376813948.885745
2024-08-01,303883489.8237
2024-09-01,1063772540.63633
2024-10-01,2359935140.46402
2024-11-01,270005373.194821
2024-12-01,720753965.455025
2025-01-01,5751874122.97471
2025-02-01,3170936522.7424
2025-03-01,3810506100.2606
2025-04-01,3911836792.82784
2025-05-01,2250074088.39912
2025-06-01,4378547322.7728
2025-07-01,1543101047.0388
2025-08-01,1370935861.88192
2025-09-01,2912367594.69588
2025-10-01,5074221335.84514
2025-11-01,1287229356.80997
2025-12-01,2267092542.9286
2026-01-01,10025928939.5472
2026-02-01,6318089569.27199
2026-03-01,7265698055.31133
2026-04-01,7413704150.39753
2026-05-01,4901008687.02848
2026-06-01,8088952970.8444
2026-07-01,3748300461.22666
2026-08-01,3454620587.5916
2026-09-01,5927395685.36692
2026-10-01,9078405966.22958
2026-11-01,3309397117.37468
2026-12-01,4927928080.65851
2027-01-01,15758671730.0975
2027-02-01,10807288748.2414
2027-03-01,12097239592.583
2027-04-01,12296941235.0338
2027-05-01,8833762985.55627
2027-06-01,13202635114.675
2027-07-01,7174572308.05182
2027-08-01,6741448944.30974
2027-09-01,10269079666.2283
2027-10-01,14515392104.9407
2027-11-01,6525372688.52973
2027-12-01,8871854157.10562
2028-01-01,23073958908.7294
2028-02-01,16775048596.5554
